Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,24,Olga Melnik,Russia,296,1997,38,1974-05-12T00:00:00.000000,22.84462696783025,47,0,1300.0,1245.0,1300.0,1245.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,25,Tadeja Brankovic-Likozar,Slovenia,56,1997,38,1979-12-20T00:00:00.000000,17.23750855578371,32,0,1300.0,1240.0,1300.0,1240.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anna Sprung,Austria,215,1997,0,1975-05-16T00:00:00.000000,21.83436002737851,19,0,1360.0,1351.0,1360.0,1351.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Annukka Mallat,Finland,267,1997,0,1974-05-19T00:00:00.000000,22.82546201232033,41,0,1305.0,1304.25,1305.0,1304.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Emmanuelle Claret,France,271,1997,0,1968-10-30T00:00:00.000000,28.375085557837096,80,0,1310.0,1308.5,1310.0,1308.5
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Martina Zellner,Germany,239,1997,0,1974-02-26T00:00:00.000000,23.04996577686516,48,0,1300.0,1300.0,1300.0,1300.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Svetlana Paramyguina,Belarus,259,1997,0,1965-04-05T00:00:00.000000,31.94524298425736,106,0,1355.0,1346.75,1355.0,1346.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Kathi Schwaab,Germany,287,1997,0,1972-11-26T00:00:00.000000,24.30116358658453,49,0,1295.0,1295.75,1295.0,1295.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Annette Sikveland,Norway,278,1997,0,1972-04-25T00:00:00.000000,24.889801505817932,101,0,1335.0,1329.75,1335.0,1329.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Katrin Apel,Germany,163,1997,0,1973-05-04T00:00:00.000000,23.865845311430526,43,0,1270.0,1274.5,1270.0,1274.5
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Uschi Disl,Germany,186,1997,0,1970-11-15T00:00:00.000000,26.33264887063655,143,0,1345.0,1338.25,1345.0,1338.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Delphyne Burlet,France,238,1997,0,1966-11-24T00:00:00.000000,30.308008213552363,71,0,1280.0,1283.0,1280.0,1283.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ekaterina Dafovska,Bulgaria,184,1997,0,1975-11-28T00:00:00.000000,21.297741273100616,62,0,1340.0,1334.0,1340.0,1334.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Veronique Claudel,France,305,1997,0,1966-11-22T00:00:00.000000,30.313483915126625,162,0,1255.0,1261.75,1255.0,1261.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Simone Greiner-Petter-Memm,Germany,270,1997,0,1967-09-15T00:00:00.000000,29.50034223134839,90,0,1285.0,1287.25,1285.0,1287.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tadeja Brankovic-Likozar,Slovenia,56,1997,0,1979-12-20T00:00:00.000000,17.23750855578371,32,0,1240.0,1249.0,1240.0,1249.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Corinne Niogret,France,217,1997,0,1972-11-20T00:00:00.000000,24.317590691307323,134,0,1320.0,1317.0,1320.0,1317.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Magdalena Forsberg,Sweden,237,1997,0,1967-07-25T00:00:00.000000,29.642710472279262,53,0,1350.0,1342.5,1350.0,1342.5
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Petra Behle,Germany,299,1997,0,1969-01-05T00:00:00.000000,28.191649555099247,170,0,1275.0,1278.75,1275.0,1278.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nathalie Santer,Italy,169,1997,0,1972-03-28T00:00:00.000000,24.96646132785763,102,0,1265.0,1270.25,1265.0,1270.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nadejda Talanova,Russia,279,1997,0,1967-04-17T00:00:00.000000,29.913757700205338,76,0,1325.0,1321.25,1325.0,1321.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Christelle Gros,France,178,1997,0,1975-05-19T00:00:00.000000,21.82614647501711,24,0,1250.0,1257.5,1250.0,1257.5
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Olga Melnik,Russia,296,1997,0,1974-05-12T00:00:00.000000,22.84462696783025,47,0,1245.0,1253.25,1245.0,1253.25
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Kristina Brouneus,Sweden,235,1997,0,1974-11-25T00:00:00.000000,22.305270362765228,32,0,1260.0,1266.0,1260.0,1266.0
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Andreja Koblar,Slovenia,202,1997,0,1971-09-02T00:00:00.000000,25.535934291581107,61,0,1315.0,1312.75,1315.0,1312.75
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Olga Romasko,Russia,272,1997,0,1968-04-18T00:00:00.000000,28.908966461327857,35,0,1290.0,1291.5,1290.0,1291.5
1997-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eva Hakova,Czechia,243,1997,0,1969-07-08T00:00:00.000000,27.68788501026694,110,0,1330.0,1325.5,1330.0,1325.5
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,1,Uschi Disl,Germany,186,1999,20,1970-11-15T00:00:00.000000,28.161533196440793,177,0,1338.25,1378.7524132457966,1338.25,1378.7524132457966
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,2,Olena Zubrilova,Ukraine,185,1999,20,1973-02-25T00:00:00.000000,25.880903490759753,83,0,1300.0,1341.7294605538516,1300.0,1341.7294605538516
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,3,Corinne Niogret,France,217,1999,20,1972-11-20T00:00:00.000000,26.146475017111566,165,0,1317.0,1352.5264854801267,1317.0,1352.5264854801267
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,4,Gro Marit Istad Kristiansen,Norway,130,1999,20,1978-02-09T00:00:00.000000,20.92539356605065,17,0,1300.0,1333.9033735973298,1300.0,1333.9033735973298
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,5,Magdalena Forsberg,Sweden,237,1999,20,1967-07-25T00:00:00.000000,31.471594798083505,82,0,1342.5,1366.783515169765,1342.5,1366.783515169765
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,6,Simone Greiner-Petter-Memm,Germany,270,1999,20,1967-09-15T00:00:00.000000,31.329226557152634,107,0,1287.25,1315.0433464903472,1287.25,1315.0433464903472
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,7,Delphyne Burlet,France,238,1999,20,1966-11-24T00:00:00.000000,32.1368925393566,91,0,1283.0,1307.4511554744236,1283.0,1307.4511554744236
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,8,Svetlana Ishmouratova,Russia,99,1999,20,1972-04-20T00:00:00.000000,26.732375085557837,26,0,1300.0,1318.2511996842863,1300.0,1318.2511996842863
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,9,Ann Elen Skjelbreid,Norway,220,1999,20,1971-09-13T00:00:00.000000,27.3347022587269,107,0,1300.0,1314.3381562060256,1300.0,1314.3381562060256
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,10,Martina Zellner,Germany,239,1999,20,1974-02-26T00:00:00.000000,24.878850102669404,83,0,1300.0,1310.4251127277646,1300.0,1310.4251127277646
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,11,Katrin Apel,Germany,163,1999,20,1973-05-04T00:00:00.000000,25.69472963723477,73,0,1274.5,1284.4379281151237,1274.5,1284.4379281151237
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,12,Nadejda Talanova,Russia,279,1999,20,1967-04-17T00:00:00.000000,31.74264202600958,98,0,1321.25,1320.9874113795913,1321.25,1320.9874113795913
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,13,Albina Akhatova,Russia,152,1999,20,1976-11-13T00:00:00.000000,22.16563997262149,33,0,1300.0,1298.685982292982,1300.0,1298.685982292982
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,14,Tetyana Vodopyanova,Ukraine,244,1999,20,1973-01-11T00:00:00.000000,26.0041067761807,75,0,1300.0,1294.7729388147213,1300.0,1294.7729388147213
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,15,Andrea Henkel,Germany,6,1999,20,1977-12-10T00:00:00.000000,21.092402464065707,16,0,1300.0,1290.8598953364603,1300.0,1290.8598953364603
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,16,Anna Stera-Kustusz,Poland,248,1999,20,1974-11-17T00:00:00.000000,24.15605749486653,98,0,1300.0,1286.9468518581996,1300.0,1286.9468518581996
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,17,Outi Kettunen,Finland,208,1999,20,1978-03-08T00:00:00.000000,20.851471594798085,11,0,1300.0,1283.0338083799386,1300.0,1283.0338083799386
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,18,Galina Koukleva,Russia,228,1999,20,1972-11-21T00:00:00.000000,26.143737166324435,78,0,1300.0,1279.1207649016778,1300.0,1279.1207649016778
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,19,Nathalie Santer,Italy,169,1999,20,1972-03-28T00:00:00.000000,26.795345653661876,130,0,1270.25,1249.451342204902,1270.25,1249.451342204902
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,20,Peggy Wagenführ,Germany,247,1999,20,1976-11-14T00:00:00.000000,22.16290212183436,17,0,1300.0,1271.294677945156,1300.0,1271.294677945156
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,21,Gunn Margit Andreassen,Norway,158,1999,20,1973-07-23T00:00:00.000000,25.475701574264203,85,0,1300.0,1267.381634466895,1300.0,1267.381634466895
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,22,Ekaterina Dafovska,Bulgaria,184,1999,20,1975-11-28T00:00:00.000000,23.12662559890486,90,0,1334.0,1292.8965473838505,1334.0,1292.8965473838505
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,23,Svetlana Paramyguina,Belarus,259,1999,20,1965-04-05T00:00:00.000000,33.7741273100616,134,0,1346.75,1300.0334942586721,1346.75,1300.0334942586721
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,World Cup,24,Nina Lemesh,Ukraine,176,1999,20,1973-05-31T00:00:00.000000,25.620807665982202,66,0,1300.0,1255.6425040321126,1300.0,1255.6425040321126
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,1,Olena Petrova,Ukraine,175,1999,21,1972-09-24T00:00:00.000000,26.302532511978097,85,0,,,1300.0,1304.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,2,Agata Suszka,Poland,277,1999,21,1971-09-27T00:00:00.000000,27.29637234770705,110,0,,,1300.0,1304.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,3,Eva Hakova,Czechia,243,1999,21,1969-07-08T00:00:00.000000,29.516769336071185,142,0,1330.0,1325.5,1325.5,1325.5
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,4,Tamami Tanaka,Japan,182,1999,21,1975-05-26T00:00:00.000000,23.63586584531143,17,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,5,Martina Halinarova,Slovakia,123,1999,21,1973-04-22T00:00:00.000000,25.727583846680357,94,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,6,Marcela Pavkovcekova,Slovakia,196,1999,21,1977-04-21T00:00:00.000000,21.730321697467488,44,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,7,Florence Baverel-Robert,France,164,1999,21,1974-05-24T00:00:00.000000,24.640657084188913,76,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,8,Katerina Holubcova,Czechia,198,1999,21,1976-06-28T00:00:00.000000,22.543463381245722,59,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,9,Elena Volkovets,Belarus,288,1999,21,1975-01-03T00:00:00.000000,24.02737850787132,7,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,10,Eva Tofalvi,Romania,97,1999,21,1978-12-04T00:00:00.000000,20.109514031485283,22,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,11,Katja Wüstenfeld,Germany,187,1999,21,1976-10-10T00:00:00.000000,22.258726899383984,38,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,12,Anna Murinova,Slovakia,191,1999,21,1973-11-14T00:00:00.000000,25.163586584531142,84,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,13,Magdalena Gwizdon,Poland,63,1999,21,1979-08-04T00:00:00.000000,19.444216290212182,22,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,14,Mami Shindo,Japan,255,1999,21,1975-02-22T00:00:00.000000,23.890485968514717,50,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,15,Jitka Pesinova,Czechia,251,1999,21,1977-05-24T00:00:00.000000,21.639972621492127,18,0,,,1300.0,1299.8788626561843
1999-01-13,Ruhpolding,Germany,L,12.5,Mass Start,1,Special Event,16,Christelle Gros,France,178,1999,21,1975-05-19T00:00:00.000000,23.655030800821354,52,0,1250.0,1257.5,1257.5,1257.5
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,1,Kamila Borutova,Czechia,1256,1999,51,1975-07-18T00:00:00.000000,23.616700889801507,7,0,,,1300.0,1300.0
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,2,Radka Doskocilova,Czechia,257,1999,51,1978-11-23T00:00:00.000000,20.265571526351813,10,0,,,1300.0,1300.0
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,3,Jitka Pesinova,Czechia,251,1999,51,1977-05-24T00:00:00.000000,21.765913757700204,23,0,,,1299.8788626561843,1299.8788626561843
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,4,Matejka Mohoric,Slovenia,323,1999,51,1978-06-17T00:00:00.000000,20.700889801505816,59,0,,,1300.0,1300.0
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,5,Sylva Nowa,Czechia,2131,1999,51,1976-07-19T00:00:00.000000,22.611909650924023,2,0,,,1300.0,1300.0
1999-02-28,Jablonec nad Nisou,Czechia,L,10,Mass Start,1,IBU Cup,6,Jana Dufkova,Czechia,264,1999,51,1979-01-04T00:00:00.000000,20.150581793292265,9,0,,,1300.0,1300.0
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,1,Mami Shindo,Japan,255,1999,63,1975-02-22T00:00:00.000000,24.05201916495551,63,0,,,1299.8788626561843,1304.580555526238
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,2,Oksana Khvostenko,Ukraine,42,1999,63,1977-11-27T00:00:00.000000,21.28952772073922,21,0,,,1300.0,1304.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,3,Pavlina Filipova,Bulgaria,142,1999,63,1975-12-20T00:00:00.000000,23.227926078028748,42,0,,,1300.0,1304.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,4,Irina Nikoultchina,Bulgaria,168,1999,63,1974-12-08T00:00:00.000000,24.26009582477755,16,0,,,1300.0,1304.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,5,Ryoko Takahashi,Japan,245,1999,63,1973-08-29T00:00:00.000000,25.535934291581107,53,0,,,1300.0,1304.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,6,Emmanuelle Claret,France,271,1999,63,1968-10-30T00:00:00.000000,30.365503080082135,120,0,1310.0,1308.5,1308.5,1308.5
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,7,Tamami Tanaka,Japan,182,1999,63,1975-05-26T00:00:00.000000,23.797399041752225,30,0,,,1299.8788626561843,1299.580555526238
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,8,Eva Tofalvi,Romania,97,1999,63,1978-12-04T00:00:00.000000,20.27104722792608,32,0,,,1299.8788626561843,1299.580555526238
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,9,Natalia Murschtschakina,Belarus,286,1999,63,1976-04-19T00:00:00.000000,22.89664613278576,46,0,,,1300.0,1299.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,10,Nathalie Santer,Italy,169,1999,63,1972-03-28T00:00:00.000000,26.95687885010267,142,0,1270.25,1249.451342204902,1249.451342204902,1249.451342204902
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,11,Mie Takeda,Japan,263,1999,63,1976-11-13T00:00:00.000000,22.327173169062284,26,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,12,Tatiana Kutlikova,Slovakia,253,1999,63,1972-09-27T00:00:00.000000,26.455852156057496,21,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,13,Martine Albert,Canada,209,1999,63,1973-09-17T00:00:00.000000,25.483915126625597,47,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,14,Radka Popova,Bulgaria,195,1999,63,1974-01-26T00:00:00.000000,25.125256673511295,68,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,15,Hiromi Suga,Japan,242,1999,63,1973-11-28T00:00:00.000000,25.286789869952088,94,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,16,Kara Salmela,USA,268,1999,63,1972-06-16T00:00:00.000000,26.7378507871321,55,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,17,Kristina Sabasteanski,USA,282,1999,63,1969-04-01T00:00:00.000000,29.946611909650922,70,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,18,Agata Suszka,Poland,277,1999,63,1971-09-27T00:00:00.000000,27.457905544147845,123,0,,,1304.8788626561843,1299.5094342732173
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,19,Jill Troutner,USA,462,1999,63,1971-02-04T00:00:00.000000,28.101300479123886,12,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,Special Event,20,Zsuzsanna Bekecs,Hungary,1052,1999,63,1976-05-17T00:00:00.000000,22.819986310746064,43,0,,,1300.0,1294.6999682430376
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,1,Olena Zubrilova,Ukraine,185,1999,64,1973-02-25T00:00:00.000000,26.042436687200546,99,0,1341.7294605538516,1378.8759371569413,1341.7294605538516,1378.8759371569413
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,2,Olena Petrova,Ukraine,175,1999,64,1972-09-24T00:00:00.000000,26.46406570841889,100,0,1300.0,1338.3582439155252,1304.8788626561843,1338.3582439155252
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,3,Magdalena Forsberg,Sweden,237,1999,64,1967-07-25T00:00:00.000000,31.633127994524298,94,0,1366.783515169765,1393.0710844423268,1366.783515169765,1393.0710844423268
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,4,Andreja Koblar,Slovenia,202,1999,64,1971-09-02T00:00:00.000000,27.526351813826146,95,0,1312.75,1341.7131242287135,1312.75,1341.7131242287135
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,5,Martina Halinarova,Slovakia,123,1999,64,1973-04-22T00:00:00.000000,25.88911704312115,111,0,1300.0,1326.6191134807427,1299.8788626561843,1326.6191134807427
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,6,Ekaterina Dafovska,Bulgaria,184,1999,64,1975-11-28T00:00:00.000000,23.28815879534565,106,0,1292.8965473838505,1316.475709472384,1292.8965473838505,1316.475709472384
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,7,Uschi Disl,Germany,186,1999,64,1970-11-15T00:00:00.000000,28.323066392881586,191,0,1378.7524132457966,1387.9616849630027,1378.7524132457966,1387.9616849630027
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,8,Galina Koukleva,Russia,228,1999,64,1972-11-21T00:00:00.000000,26.305270362765228,89,0,1279.1207649016778,1296.561650988959,1279.1207649016778,1296.561650988959
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,9,Katrin Apel,Germany,163,1999,64,1973-05-04T00:00:00.000000,25.856262833675565,89,0,1284.4379281151237,1297.3153831045233,1284.4379281151237,1297.3153831045233
1999-03-13,Holmenkollen,Norway,L,12.5,Mass Start,1,World Championship,10,Svetlana Paramyguina,Belarus,259,1999,64,1965-04-05T00:00:00.000000,33.935660506502394,148,0,1300.0334942586721,1307.083270714566,1300.0334942586721,1307.083270714566
