FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Rank,Year,Jump,Points,JumpRank,Time,TimeDiff,Elo,Individual_Elo,Sprint_Elo,MassStart_Elo,IndividualCompact_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
Masa Likozar Brankovic,Masa Likozar Brankovic,243,Slovenia,999,999,False,False,,,,,,,,1296.5147672262017,1297.0659035103247,1300.0,1293.4015784387834,1305.008713403863,1297.0659035103247,0.0,Lahti,Finland,Individual,03/06/2026
Caroline Chor,Caroline Chor,259,Singapore,999,999,False,False,,,,,,,,1295.5766867840878,1294.0649013046996,1300.0,1289.473772967611,1274.6102566754905,1294.0649013046996,0.0,Lahti,Finland,Individual,03/06/2026
Loa Jeantet,Loa Jeantet,250,France,999,999,False,False,,,,,,,,1290.8028798031737,1289.5269634866158,1300.0,1295.4352384930166,1274.6102566754905,1289.5269634866158,0.0,Lahti,Finland,Individual,03/06/2026
Clara Mentil,Clara Mentil,99,Austria,999,999,False,False,,,,,,,,1274.8271057002228,1288.4243991747574,1300.0,1290.8746202729742,1275.52,1288.4243991747574,0.0,Lahti,Finland,Individual,03/06/2026
Svea Lobsiger,Svea Lobsiger,256,Switzerland,999,999,False,False,,,,,,,,1291.9913209304293,1288.1261257944957,1300.0,1289.473772967611,1274.6102566754905,1288.1261257944957,0.0,Lahti,Finland,Individual,03/06/2026
Laly Pingat,Laly Pingat,253,France,999,999,False,False,,,,,,,,1287.496891409186,1286.1212877581074,1300.0,1289.473772967611,1292.7769005687492,1286.1212877581074,0.0,Lahti,Finland,Individual,03/06/2026
Riona Noro,Riona Noro,255,Japan,999,999,False,False,,,,,,,,1284.8925463511491,1285.5787189587556,1300.0,1293.4075006431326,1274.6102566754905,1285.5787189587556,0.0,Lahti,Finland,Individual,03/06/2026
Hannah Christina Brobeck,Hannah Christina Brobeck,254,Norway,999,999,False,False,,,,,,,,1289.6010770279902,1284.166942121026,1300.0,1289.473772967611,1274.6102566754905,1284.166942121026,0.0,Lahti,Finland,Individual,03/06/2026
Sadie McCrank,Sadie McCrank,257,USA,999,999,False,False,,,,,,,,1289.6010770279902,1284.166942121026,1300.0,1289.473772967611,1274.6102566754905,1284.166942121026,0.0,Lahti,Finland,Individual,03/06/2026
Marion Droz Vincent,Marion Droz Vincent,229,France,999,999,False,False,,,,,,,,1252.277862315491,1282.241854060006,1300.0,1275.1470586810658,1274.3103326712255,1282.241854060006,0.0,Lahti,Finland,Individual,03/06/2026
Haley Brabec,Haley Brabec,240,USA,999,999,False,False,,,,,,,,1288.358472853476,1279.1851806187583,1300.0,1290.4075006431326,1274.6102566754905,1279.1851806187583,0.0,Lahti,Finland,Individual,03/06/2026
Yuzuka Fujiwara,Yuzuka Fujiwara,235,Japan,999,999,False,False,,,,,,,,1281.3155443845246,1278.516867430466,1300.0,1295.4075006431326,1274.6102566754905,1278.516867430466,0.0,Lahti,Finland,Individual,03/06/2026
Laura Pletz,Laura Pletz,95,Austria,999,999,False,False,,,,,,,,1260.738316104928,1273.3029974034712,1300.0,1299.251577982286,1270.4730273580549,1273.3029974034712,0.0,Lahti,Finland,Individual,03/06/2026
Rosa Kikuchi,Rosa Kikuchi,249,Japan,999,999,False,False,,,,,,,,1277.3125571108417,1272.8513928288671,1300.0,1294.4075006431326,1274.6102566754905,1272.8513928288671,0.0,Lahti,Finland,Individual,03/06/2026
Karina Kozlova,Karina Kozlova,246,Ukraine,999,999,False,False,,,,,,,,1257.4399207582198,1268.329551571576,1300.0,1274.0464635071971,1292.7769005687492,1268.329551571576,0.0,Lahti,Finland,Individual,03/06/2026
Anna-Sophie Gredler,Anna-Sophie Gredler,223,Austria,999,999,False,False,,,,,,,,1235.087498610709,1264.8306193695228,1300.0,1267.2936030283795,1283.3308737293623,1264.8306193695228,0.0,Lahti,Finland,Individual,03/06/2026
Anna Brandner,Anna Brandner,252,Austria,999,999,False,False,,,,,,,,1267.2229869117134,1264.1371628004858,1300.0,1289.473772967611,1291.092690042433,1264.1371628004858,0.0,Lahti,Finland,Individual,03/06/2026
Annamarija Oinas,Annamarija Oinas,62,Finland,999,999,True,False,,,,,,,,1239.8321670233702,1262.582834194576,1300.0,1285.2795454545455,1291.092690042433,1262.582834194576,0.0,Lahti,Finland,Individual,03/06/2026
Anna Senoner,Anna Senoner,208,Italy,999,999,False,False,,,,,,,,1256.6835712071838,1260.0552692619367,1300.0,1285.4723194511118,1286.9288233137606,1260.0552692619367,0.0,Lahti,Finland,Individual,03/06/2026
Pia Loh,Pia Loh,244,Germany,999,999,False,False,,,,,,,,1259.244369755569,1258.4134419973905,1300.0,1294.878116773367,1292.7769005687492,1258.4134419973905,0.0,Lahti,Finland,Individual,03/06/2026
Anna Kerko,Anna Kerko,211,Finland,999,999,True,False,,,,,,,,1229.1145911711528,1256.976421937055,1300.0,1271.848291682464,1274.527589420802,1256.976421937055,0.0,Lahti,Finland,Individual,03/06/2026
Ingrid Græsli,Ingrid Græsli,248,Norway,999,999,False,False,,,,,,,,1264.444977578796,1256.96838524547,1300.0,1284.117700562267,1274.692923930179,1256.96838524547,0.0,Lahti,Finland,Individual,03/06/2026
Finja Eichel,Finja Eichel,226,Germany,999,999,False,False,,,,,,,,1262.0721027842585,1253.2633854553494,1300.0,1294.878116773367,1297.8295321476965,1253.2633854553494,0.0,Lahti,Finland,Individual,03/06/2026
Eva-Maria Holzer,Eva-Maria Holzer,227,Austria,999,999,False,False,,,,,,,,1257.7926679008478,1252.9122559844222,1300.0,1289.473772967611,1291.2695271382015,1252.9122559844222,0.0,Lahti,Finland,Individual,03/06/2026
Fabienne Klumpf,Fabienne Klumpf,220,Germany,999,999,False,False,,,,,,,,1258.4081078177655,1249.4695824844976,1300.0,1299.5203576355982,1291.3548463514112,1249.4695824844976,0.0,Lahti,Finland,Individual,03/06/2026
Ludovica Del Bianco,Ludovica Del Bianco,224,Italy,999,999,False,False,,,,,,,,1255.262066300642,1247.382748397831,1300.0,1294.878116773367,1291.2695271382015,1247.382748397831,0.0,Lahti,Finland,Individual,03/06/2026
Sofia Eggensberger,Sofia Eggensberger,213,Germany,999,999,False,False,,,,,,,,1239.5806682837774,1242.22085501285,1300.0,1289.2592120508398,1275.0204763820234,1242.22085501285,0.0,Lahti,Finland,Individual,03/06/2026
Nora Helene Evans,Nora Helene Evans,231,Norway,999,999,False,False,,,,,,,,1198.9934851497878,1241.6502377973036,1300.0,1260.0612476240428,1254.4521744752387,1241.6502377973036,0.0,Lahti,Finland,Individual,03/06/2026
Romane Baud,Romane Baud,206,France,999,999,False,False,,,,,,,,1213.1709289493724,1241.070810935693,1300.0,1270.118847551248,1257.5725512946856,1241.070810935693,0.0,Lahti,Finland,Individual,03/06/2026
Marie Nähring,Marie Nähring,33,Germany,999,999,False,False,,,,,,,,1250.3890401840097,1236.8758858323408,1300.0,1300.3559258083728,1309.945198380056,1236.8758858323408,0.0,Lahti,Finland,Individual,03/06/2026
Amelie Steiner,Amelie Steiner,197,Germany,999,999,False,False,,,,,,,,1244.063661069424,1235.5212795114542,1300.0,1294.878116773367,1291.2695271382015,1235.5212795114542,0.0,Lahti,Finland,Individual,03/06/2026
Maja Loh,Maja Loh,215,Germany,999,999,False,False,,,,,,,,1236.1529923714231,1232.9327775273075,1300.0,1288.2592120508398,1280.073107960971,1232.9327775273075,0.0,Lahti,Finland,Individual,03/06/2026
Giada Delugan,Giada Delugan,184,Italy,999,999,False,False,,,,,,,,1238.2026553803028,1228.0164179435112,1300.0,1289.473772967611,1302.882163726644,1228.0164179435112,0.0,Lahti,Finland,Individual,03/06/2026
Julia Schmidt,Julia Schmidt,214,Austria,999,999,False,False,,,,,,,,1229.364109965658,1226.8082375405347,1300.0,1298.147230156199,1289.7437652650976,1226.8082375405347,0.0,Lahti,Finland,Individual,03/06/2026
Veronica Gianmoena,Veronica Gianmoena,29,Italy,999,999,False,False,,,,,,,,1220.7471475331345,1222.2044239367551,1300.0,1264.2831780091822,1268.6421157169104,1222.2044239367551,0.0,Lahti,Finland,Individual,03/06/2026
Anaelle Paris,Anaelle Paris,217,France,999,999,False,False,,,,,,,,1230.9803608522352,1219.474345035234,1300.0,1290.117455717925,1293.142418452837,1219.474345035234,0.0,Lahti,Finland,Individual,03/06/2026
Aino Kanervala,Aino Kanervala,251,Finland,999,999,True,False,,,,,,,,1243.6016846313964,1216.654549760634,1300.0,1289.473772967611,1296.1453216213808,1216.654549760634,0.0,Lahti,Finland,Individual,03/06/2026
Daniela Dejori,Daniela Dejori,37,Italy,999,999,False,False,,,,,,,,1205.888579484435,1216.186132004043,1300.0,1249.483329201469,1273.9341803571986,1216.186132004043,0.0,Lahti,Finland,Individual,03/06/2026
Giulia Belz,Giulia Belz,228,Switzerland,999,999,False,False,,,,,,,,1236.770020437377,1215.60250031762,1300.0,1294.878116773367,1304.5663742529598,1215.60250031762,0.0,Lahti,Finland,Individual,03/06/2026
Greta Pinzani,Greta Pinzani,96,Italy,999,999,False,False,,,,,,,,1164.4712901347957,1189.7303356821565,1300.0,1252.790987909464,1241.1032537245308,1189.7303356821565,0.0,Lahti,Finland,Individual,03/06/2026
Silva Verbič,Silva Verbič,40,Slovenia,999,999,False,False,,,,,,,,1138.3858615976612,1164.0516768033822,1300.0,1257.143783917233,1238.9825297921996,1164.0516768033822,0.0,Lahti,Finland,Individual,03/06/2026
Tereza Koldovska,Tereza Koldovska,89,Czechia,999,999,False,False,,,,,,,,1053.9589081900829,1093.850087160771,1300.0,1228.119903854208,1191.3551529357835,1093.850087160771,0.0,Lahti,Finland,Individual,03/06/2026
