Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,26,Nora Helene Evans,Norway,231,2026,1,2008-09-11T00:00:00.000000,17.232032854209447,1,0,1300.0,1292.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,27,Veronica Gianmoena,Italy,29,2026,1,1995-10-25T00:00:00.000000,30.11362080766598,1,0,1300.0,1291.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,28,Greta Pinzani,Italy,96,2026,1,2005-02-14T00:00:00.000000,20.804928131416837,1,0,1300.0,1290.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,29,Jonna Kil,Poland,68,2026,1,2000-07-09T00:00:00.000000,25.4072553045859,1,0,1300.0,1289.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,30,Marion Droz Vincent,France,229,2026,1,2008-01-08T00:00:00.000000,17.908281998631075,1,0,1300.0,1288.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,31,Romane Baud,France,206,2026,1,2006-09-23T00:00:00.000000,19.200547570157426,1,0,1300.0,1287.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,32,Hanna Midtsundstad,Norway,3,2026,1,1999-09-22T00:00:00.000000,26.203969883641342,1,0,1300.0,1286.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,33,Ingrid Græsli,Norway,248,2026,1,2009-09-04T00:00:00.000000,16.251882272416154,1,0,1300.0,1285.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,34,Jolana Hradilova,Czechia,87,2026,1,2004-06-29T00:00:00.000000,21.43463381245722,1,0,1300.0,1284.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,35,Tereza Koldovska,Czechia,89,2026,1,2004-10-19T00:00:00.000000,21.127994524298426,1,0,1300.0,1283.0
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Minja Korhonen,Finland,200,2026,0,2007-05-19T00:00:00.000000,18.548939082819984,1,0,1313.0,1311.05
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Annalena Slamik,Austria,41,2026,0,2003-03-23T00:00:00.000000,22.704996577686515,1,0,1293.0,1294.05
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tara Geraghty-Moats,USA,58,2026,0,1993-04-12T00:00:00.000000,32.648870636550306,1,0,1299.0,1299.1499999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Teja Pavec,Slovenia,209,2026,0,2007-04-15T00:00:00.000000,18.642026009582477,1,0,1298.0,1298.3
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Greta Pinzani,Italy,96,2026,0,2005-02-14T00:00:00.000000,20.804928131416837,1,0,1290.0,1291.5
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Marion Droz Vincent,France,229,2026,0,2008-01-08T00:00:00.000000,17.908281998631075,1,0,1288.0,1289.8
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ingrid Låte,Norway,201,2026,0,2007-07-23T00:00:00.000000,18.3709787816564,1,0,1310.0,1308.5
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nathalie Armbruster,Germany,168,2026,0,2006-01-02T00:00:00.000000,19.923340177960302,1,0,1316.0,1313.6
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Annika Malacinski,USA,61,2026,0,2001-05-09T00:00:00.000000,24.57494866529774,1,0,1301.0,1300.85
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Yuzuki Kainuma,Japan,239,2026,0,2007-07-22T00:00:00.000000,18.373716632443532,1,0,1308.0,1306.8
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anna-Sophie Gredler,Austria,223,2026,0,2008-01-21T00:00:00.000000,17.872689938398356,1,0,1300.0,1300.0
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tereza Koldovska,Czechia,89,2026,0,2004-10-19T00:00:00.000000,21.127994524298426,1,0,1283.0,1285.55
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Daniela Dejori,Italy,37,2026,0,2002-08-01T00:00:00.000000,23.345653661875428,1,0,1294.0,1294.8999999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Trine Göpfert,Germany,107,2026,0,2005-06-19T00:00:00.000000,20.462696783025326,1,0,1305.0,1304.25
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jonna Kil,Poland,68,2026,0,2000-07-09T00:00:00.000000,25.4072553045859,1,0,1289.0,1290.6499999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tia Malovrh,Slovenia,221,2026,0,2008-07-16T00:00:00.000000,17.388090349075974,1,0,1302.0,1301.7
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lisa Hirner,Austria,52,2026,0,2003-10-03T00:00:00.000000,22.17385352498289,1,0,1312.0,1310.2
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jenny Nowak,Germany,25,2026,0,2002-08-20T00:00:00.000000,23.293634496919918,1,0,1306.0,1305.1
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Hanna Midtsundstad,Norway,3,2026,0,1999-09-22T00:00:00.000000,26.203969883641342,1,0,1286.0,1288.1
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Alexa Brabec,USA,81,2026,0,2004-10-08T00:00:00.000000,21.15811088295688,1,0,1315.0,1312.75
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ingrid Græsli,Norway,248,2026,0,2009-09-04T00:00:00.000000,16.251882272416154,1,0,1285.0,1287.25
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Marte Leinan Lund,Norway,7,2026,0,2001-04-01T00:00:00.000000,24.67898699520876,1,0,1307.0,1305.95
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Claudia Purker,Austria,177,2026,0,1999-01-15T00:00:00.000000,26.888432580424368,1,0,1296.0,1296.6
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ida Marie Hagen,Norway,60,2026,0,2000-08-18T00:00:00.000000,25.297741273100616,1,0,1317.0,1314.45
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Heta Hirvonen,Finland,218,2026,0,2008-10-16T00:00:00.000000,17.136208076659823,1,0,1309.0,1307.6499999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jolana Hradilova,Czechia,87,2026,0,2004-06-29T00:00:00.000000,21.43463381245722,1,0,1284.0,1286.3999999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Romane Baud,France,206,2026,0,2006-09-23T00:00:00.000000,19.200547570157426,1,0,1287.0,1288.95
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Mille Marie Hagen,Norway,180,2026,0,2002-12-13T00:00:00.000000,22.978781656399725,1,0,1297.0,1297.45
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Katharina Gruber,Austria,219,2026,0,2008-08-26T00:00:00.000000,17.27583846680356,1,0,1314.0,1311.8999999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ronja Loh,Germany,171,2026,0,2005-04-21T00:00:00.000000,20.62422997946612,1,0,1304.0,1303.3999999999999
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Léna Brocard,France,53,2026,0,2000-05-19T00:00:00.000000,25.546885694729635,1,0,1295.0,1295.75
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Yuna Kasai,Japan,161,2026,0,2004-02-04T00:00:00.000000,21.83436002737851,1,0,1311.0,1309.35
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Masa Likozar Brankovic,Slovenia,243,2026,0,2009-04-13T00:00:00.000000,16.646132785763175,1,0,1303.0,1302.55
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Veronica Gianmoena,Italy,29,2026,0,1995-10-25T00:00:00.000000,30.11362080766598,1,0,1291.0,1292.35
2026-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Nora Helene Evans,Norway,231,2026,0,2008-09-11T00:00:00.000000,17.232032854209447,1,0,1292.0,1293.2
